,0
124,"Products do not look like the advertising photos on the homepage!The clothes ordered (Donovan Corduroy Shirt × 1Gray / L) do not look remotely like the advertising photos on the homepage. In addition, there is no form under FAQ or Help Center to return goods if necessary. Nobody has replied to my email either. I think I'll be left with the costs. Thank god it was just a shirt!NEVER AGAIN!!!;)Die bestellten Anziehsachen ( Donovan Corduroy Shirt × 1Gray / L ) , sehen nicht im entferntesten aus wie die Werbefotos auf der Homepage. Zusätzlich findet man unter FAQ oder Help-Center kein Formular um ggf. Ware zu retournieren. Auch auf meine Email hat bis jetzt niemand geantwortet. Ich glaube ich bleibe auf den Kosten sitzen. Gott sei Dank war es nur ein Hemd!NIE WIEDER!!! ;)"
125,"The product was fine and appears to be solid quality.  However, the delivery took quite a bit longer than anticipated.  We hoped to have had the items by Christmas, but they were actually delivered several weeks later."
126,Garbage quality coat. It looks like a nice coat on the website but when it arrived it was made of cheap felt. The kind of material a dollar store Christmas stocking would be made of. It's hideous and I'm throwing it out.
127,"It’s been over a week, sad to see these reviews, crazy that instagram is filled with these bogus sites. Second time this year fell for a bogus site. Only ordering through amazon from now on. Hate this nonsense."
128,Very slow - was getting worried as have still not received my order done 23rd November and no updates dice the initial confirmation. There is a China post tracking number. Even more worried now I’ve found these other comments. I wouldn’t recommend you order anything. I’ll posts and update if I get anything.UPDATED POST - I received my order last Friday - the beanie hats I ordered were good quality and I am pleased with them.  Given that the order had come from China I am amending my post to satisfactory.  I would use again if I wasn’t in any particular hurry.  I think it would be helpful if Zartoni gave expectation if order dates to customers to prevent them from making unnecessary queries or worrying.
129,"The shorts didn't quite fit my size but I like the quality, arrived a little bit later than expected. I thought the material would be more stretchy than that but It's fine"
130,HORRIBLE CUSTOMER SERVICE THE PRODUCT IS SUB-PAR AND RUNS WAY TO SMALL THEY REFUSE TO RETURN MY EMAILS PER THEIR POLICY. DO NOT PURCHASE ITS GARBAGE LOOKS LIKE ITS MADE IN CHINA GARBAGE
131,"Slow!!!!I ordered a hat on December 14, 2019. Still no hat and was told I can only cancel an order within 1 hour of purchase. This company maybe a scam . Buyers please beware!"
132,Thought it would be italian clothes with good quality. Clothes was shipped from china. Probably could have bought it from aliexpress or wish for a third of the price..
133,Nothing like what the product looks like. Returns are impossible to make. The shipping took forever. Will never buy from this place again.
134,The worst online service about. Do not purchase from this business. Item never arrives and customer service is simply useless. Do not purchase from this business.
135,"Ordered Hat & Sweater Nov 25. Tracking information from order status update states my ""item has been processed through a facility in GUANGZHOU EMS, CHINA at 3:35 am on December 3, 2019."" Yesterday [12/16]I wrote to get an update. Today [12/17] Zartoni sent me an email with a link. Quick response! YAY! Guess what the link says? My ""item has been processed through a facility in GUANGZHOU EMS, CHINA at 3:35 am on December 3, 2019."" BOOO! Email also informs me the order could take up to 8 weeks. Double BOOO! Also says that if my order had multiple items they will likely arrive separately. Triple BOOO!Based on other reviews I'm not overly optimistic about this.I guess you get what you pay for. So buyers beware, Free Worldwide Shipping probably means it's going to sit on a boat for a month and then on a dock for another month going through customs. Never again."
